kod;cena za l kartonovy;supplierId;typeid;popis;balenie;kategoria
1221107-001-01-999;8.5;8;9;RAVENOL DGL SAE 75W-85 GL-5 LS - 1 L (VE 12 Stück);1 L;API GL-5,BMW HYPOID AXLE OIL G1
1221107-004-01-999;8.25;8;9;RAVENOL DGL SAE 75W-85 GL-5 LS - 4 L (VE 4 Stück);4 L;
1221107-010-01-999;7.99;8;9;RAVENOL DGL SAE 75W-85 GL-5 LS - 10 L;plast;
1221107-B20-01-888;7.99;8;9;RAVENOL DGL SAE 75W-85 GL-5 LS - 20 L Bag in Box;bag;
1222101-001-01-999;5.5;8;9;RAVENOL Getriebeoel TSG SAE 75W-90 - 1 L (VE 12 Stück);1 L;API GL-4, VW 501 50 (G50)
1222101-004-01-999;5.3;8;9;RAVENOL Getriebeoel TSG SAE 75W-90 - 4 L (VE 4 Stück);4 L;
1222101-010-01-999;5.2;8;9;RAVENOL Getriebeoel TSG SAE 75W-90 - 10 L;plast;
1222101-B20-01-888;5.2;8;9;RAVENOL Getriebeoel TSG SAE 75W-90 - 20 L Bag in Box;bag;
1222105-001-01-999;5.99;8;9;RAVENOL Getriebeoel TGO SAE 75W-90 API GL 5 - 1 L (VE 12 Stück);1 L; API GL-5
1222105-004-01-999;5.79;8;9;RAVENOL Getriebeoel TGO SAE 75W-90 API GL 5 - 4 L (VE 4 Stück);4 L;
1222105-010-01-999;5.5;8;9;RAVENOL Getriebeoel TGO SAE 75W-90 API GL 5 - 10 L;plast;
1222105-B20-01-888;5.5;8;9;RAVENOL Getriebeoel TGO SAE 75W-90 API GL 5 - 20 L Bag in Box;bag;
1221101-001-01-999;7.49;8;9;RAVENOL VSG SAE 75W-90 - 1 L (VE 12 Stück);1 L;API GL-5 / GL-4 , DIFF.
1221101-004-01-999;7.29;8;9;RAVENOL VSG SAE 75W-90 - 4 L (VE 4 Stück);4 L;
1221101-010-01-999;6.99;8;9;RAVENOL VSG SAE 75W-90 - 10 L;plast;
1221101-B20-01-888;6.99;8;9;RAVENOL VSG SAE 75W-90 - 20 L Bag in Box;bag;
1222102-001-01-999;6.9;8;9;RAVENOL Getriebeoel LS SAE 75W-90 - 1 L (VE 12 Stück);1 L;API GL-5
